subject_id;delta_radius;delta_velocity;delta_inattention
2;-0.8359375;;
3;-0.848307292;;
4;0.017578125;;
5;1.544596354;;
6;1.876953125;;
7;1.638997396;;
8;-2.958984375;;
9;-1.76953125;;
10;-0.26953125;;
11;-0.977213542;;
12;-2.185872396;;
13;1.322265625;;
14;2.22265625;;
15;1.721679688;;
16;-1.673828125;;
17;0.673828125;;
18;0.289713542;;
19;6.7265625;;
20;4.302734375;;
21;-0.190755208;;
22;-1.054361979;;
23;-0.780598958;;
24;0.98046875;;
25;2.923502604;;
26;2.231770833;;
27;-2.350260417;;
28;-3.599609375;;
29;2.267578125;;
30;2.2109375;;
31;0.126627604;;
32;3.787760417;;
33;-1.28125;;
34;-0.185872396;;
35;-3.138671875;;
36;2.46875;;
