subject_id,delta_radius,delta_velocity,delta_inattention
2,-1.42578125,,
3,-0.25390625,,
4,-2.9375,,
5,4.48046875,,
6,2.3203125,,
7,0.66015625,,
8,-0.328125,,
9,-5.5,,
10,-2.5390625,,
11,-3.42578125,,
12,1.9375,,
13,2.08984375,,
14,-2.33203125,,
15,1.18359375,,
16,3.33984375,,
17,0.28125,,
18,-0.03125,,
19,4.47265625,,
20,-4.4921875,,
21,0.69140625,,
22,0.5625,,
23,-0.73046875,,
24,1.4296875,,
25,-2.5078125,,
26,0.421875,,
27,-0.23828125,,
28,-2.3671875,,
29,0.1796875,,
30,2.40625,,
31,-1.45703125,,
32,4.34765625,,
33,2.87890625,,
34,1.82421875,,
35,1.75,,
36,1.18359375,,
